0.063 (+/-0.132) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 600, 'solver': 'lbfgs'}
0.020 (+/-0.053) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 600, 'solver': 'sgd'}
0.012 (+/-0.033) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'adam'}
0.090 (+/-0.186) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'lbfgs'}
0.027 (+/-0.048) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 100, 'solver': 'sgd'}
0.005 (+/-0.011) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'adam'}
0.053 (+/-0.088) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'lbfgs'}
0.023 (+/-0.037) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 400, 'solver': 'sgd'}
0.006 (+/-0.009) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'adam'}
0.051 (+/-0.069) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'lbfgs'}
0.030 (+/-0.054) for {'activation': 'tanh', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 600, 'solver': 'sgd'}
0.226 (+/-0.222) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'adam'}
0.140 (+/-0.168) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'lbfgs'}
0.023 (+/-0.043) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 100, 'solver': 'sgd'}
0.239 (+/-0.288) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'adam'}
0.142 (+/-0.167) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'lbfgs'}
0.047 (+/-0.102) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 400, 'solver': 'sgd'}
0.123 (+/-0.160) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'adam'}
0.123 (+/-0.217) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'lbfgs'}
0.023 (+/-0.039) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 600, 'solver': 'sgd'}
0.098 (+/-0.182) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'adam'}
0.133 (+/-0.139) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'lbfgs'}
0.037 (+/-0.067) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 100, 'solver': 'sgd'}
0.087 (+/-0.143) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'adam'}
0.099 (+/-0.194) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'lbfgs'}
0.053 (+/-0.075) for {'activation': 'tanh', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 400, 'solver': 'sgd'}
