0.622 (+/-0.327) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 2500, 'solver': 'lbfgs'}
0.824 (+/-0.603) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 2500, 'solver': 'sgd'}
0.696 (+/-0.736) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'adam'}
0.612 (+/-0.473) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'lbfgs'}
1.000 (+/-0.002) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 5000, 'solver': 'sgd'}
0.729 (+/-0.772) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'adam'}
0.642 (+/-0.540) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'lbfgs'}
0.865 (+/-0.607) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.15, 'max_iter': 10000, 'solver': 'sgd'}
0.596 (+/-0.822) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'adam'}
0.755 (+/-0.563) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'lbfgs'}
0.819 (+/-0.629) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 2500, 'solver': 'sgd'}
0.797 (+/-0.341) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'adam'}
0.691 (+/-0.601) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'lbfgs'}
0.937 (+/-0.312) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 5000, 'solver': 'sgd'}
0.646 (+/-0.674) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'adam'}
0.722 (+/-0.626) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'lbfgs'}
0.782 (+/-0.482) for {'activation': 'relu', 'hidden_layer_sizes': 3, 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 10000, 'solver': 'sgd'}
1.000 (+/-0.001) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'adam'}
0.793 (+/-0.618) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'lbfgs'}
0.095 (+/-0.105) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 2500, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'adam'}
0.867 (+/-0.288) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'lbfgs'}
0.067 (+/-0.087) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 5000, 'solver': 'sgd'}
1.000 (+/-0.000) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'adam'}
0.851 (+/-0.312) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'lbfgs'}
0.061 (+/-0.075) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.01, 'max_iter': 10000, 'solver': 'sgd'}
0.999 (+/-0.004) for {'activation': 'relu', 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'learning_rate_init': 0.05, 'max_iter': 2500, 'solver': 'adam'}
